10 1月 2026 16:08:50
Time (ms),HR (bpm),R-R (ms)
5231,70,813
6024,70,793
6827,70,803
7613,71,786
8378,72,765
9155,72,777
9900,73,745
10667,74,767
11384,75,717
12090,75,706
12795,76,705
13502,78,707
14210,78,708
14915,79,705
15630,81,715
16349,81,719
17093,82,744
17850,82,757
18619,84,769
19417,84,798
20247,84,830
21060,84,813
21880,83,820
22657,82,777
23454,82,797
24231,81,777
24992,80,761
25747,79,755
26496,79,749
27243,78,747
27983,78,740
28705,78,722
29442,78,737
30187,78,745
30933,79,746
31672,79,739
32420,80,748
33176,80,756
33875,81,699
34614,81,739
35356,82,742
36125,82,769
36867,82,742
37605,82,738
38347,82,742
39092,82,745
39843,82,751
40593,82,750
41342,82,749
42075,82,733
42805,82,730
43532,82,727
44252,82,720
44963,82,711
45664,82,701
46355,82,691
47044,82,689
47737,83,693
48426,84,689
49110,84,684
49798,84,688
50491,85,693
51206,85,715
51928,86,722
52670,86,742
53447,87,777
54241,87,794
55044,87,803
55850,86,806
56665,86,815
57485,84,820
58291,84,806
59092,83,801
59891,81,799
60671,79,780
61449,79,778
62213,78,764
62966,77,753
63711,77,745
64441,77,730
65166,77,725
65879,77,713
66578,77,699
67265,78,687
67956,79,691
68645,81,689
69345,81,700
70058,82,713
70799,84,741
71552,84,753
72310,84,758
73084,85,774
73865,85,781
74651,85,786
75441,85,790
76241,84,800
77041,83,800
77850,82,809
78642,82,792
79441,81,799
80224,80,783
80999,78,775
81766,78,767
82508,78,742
83237,77,729
83961,77,724
84685,77,724
85418,78,733
86165,79,747
86915,79,750
87648,79,733
88372,80,724
89103,80,731
89841,81,738
90591,81,750
91336,82,745
92078,82,742
92811,82,733
93523,83,712
94226,83,703
94930,83,704
95630,83,700
96346,83,716
97076,83,730
97838,83,762
98594,83,756
99370,84,776
100154,84,784
100945,84,791
101736,83,791
102560,83,824
102840,83,280
103336,83,496
104125,83,789
104920,83,795
105689,83,769
106436,83,747
107216,83,780
107967,83,751
108719,82,752
109488,82,769
110278,82,790
111091,81,813
111934,81,843
112794,79,860
113654,79,860
114514,79,860
115371,78,857
116235,77,864
117089,77,854
117944,75,855
118787,75,843
119622,74,835
120408,73,786
121225,73,817
121999,72,774
122810,72,811
123556,72,746
124310,72,754
125060,73,750
125775,73,715
126486,74,711
127195,76,709
127919,76,724
128659,77,740
129423,78,764
130209,80,786
131023,80,814
131834,81,811
132640,81,806
133507,81,867
134350,81,843
135208,80,858
136066,80,858
136930,79,864
137775,78,845
138607,77,832
139435,75,828
140260,75,825
141067,74,807
141865,73,798
142634,73,769
143430,73,796
144168,73,738
144949,73,781
145717,73,768
146506,74,789
147307,74,801
148134,75,827
148974,76,840
149796,76,822
150678,76,882
151532,76,854
152377,76,845
153230,76,853
154100,76,870
154892,75,792
155705,74,813
156482,74,777
157250,73,768
157990,73,740
158695,73,705
159431,73,736
160150,74,719
160863,75,713
161588,75,725
162336,77,748
163104,78,768
163880,80,776
164673,80,793
165466,81,793
166268,81,802
167067,81,799
167882,81,815
168693,81,811
169551,81,858
170368,80,817
171204,78,836
171986,78,782
172806,77,820
173564,77,758
174341,76,777
175079,76,738
175854,75,775
176587,75,733
177362,76,775
178194,76,832
178996,76,802
179873,77,877
180753,77,880
181619,77,866
182532,77,913
183435,76,903
184315,76,880
185255,75,940
186143,74,888
187040,73,897
187944,72,904
188771,71,827
189623,69,852
190385,69,762
191143,69,758
191877,69,734
192589,69,712
193309,69,720
194011,69,702
194729,72,718
195478,72,749
196258,73,780
197052,75,794
197855,76,803
198683,79,828
199518,79,835
200334,80,816
201172,80,838
201985,80,813
202828,79,843
203586,79,758
204383,78,797
205169,77,786
205933,76,764
206720,76,787
207496,75,776
208274,75,778
209027,76,753
209776,76,749
210543,76,767
211350,76,807
212151,77,801
212997,77,846
213844,78,847
214724,78,880
215589,78,865
216463,77,874
217279,76,816
218125,76,846
218909,75,784
219698,75,789
220398,74,700
221148,74,750
221841,74,693
222586,74,745
223328,75,742
224102,75,774
224882,76,780
225687,77,805
226514,78,827
227296,78,782
228080,79,784
228853,79,773
229615,80,762
230410,80,795
231150,79,740
231903,79,753
232663,79,760
233424,79,761
234180,78,756
234949,78,769
235694,79,745
236441,79,747
237199,79,758
237960,79,761
238733,80,773
239560,80,827
240384,80,824
241233,80,849
242090,80,857
242952,79,862
243787,78,835
244686,78,899
245536,77,850
246392,76,856
247249,75,857
248049,74,800
248850,74,801
249632,73,782
250403,72,771
251096,72,693
251808,72,712
252508,73,700
253231,74,723
253926,74,695
254694,76,768
255446,77,752
256273,78,827
257077,80,804
257902,80,825
258745,81,843
259589,81,844
260436,81,847
261313,80,877
262135,80,822
263014,79,879
263815,77,801
264629,76,814
265439,74,810
266214,74,775
267007,74,793
267744,73,737
268542,73,798
269337,74,795
270201,74,864
271078,74,877
271965,74,887
272852,75,887
273751,75,899
274680,75,929
275563,74,883
276481,74,918
277396,73,915
278299,72,903
279218,71,919
280081,70,863
280936,70,855
281777,68,841
282597,68,820
283389,68,792
284156,68,767
284899,69,743
285624,69,725
286345,70,721
287077,71,732
287816,73,739
288609,73,793
289388,75,779
290238,76,850
291082,77,844
291951,78,869
292817,78,866
293687,78,870
294550,78,863
295450,78,900
296337,77,887
297213,76,876
298078,74,865
298932,74,854
299778,73,846
300624,72,846
301436,71,812
302221,70,785
303032,70,811
303811,70,779
304586,71,775
305442,71,856
306285,72,843
307144,72,859
308010,73,866
308873,73,863
309717,73,844
310609,73,892
311476,73,867
312351,73,875
313196,73,845
314074,73,878
314900,72,826
315725,72,825
316548,71,823
317342,71,794
318112,71,770
318853,71,741
319579,72,726
320333,72,754
321070,73,737
321821,74,751
322601,76,780
323398,76,797
324223,77,825
325042,77,819
325918,78,876
326783,78,865
327648,78,865
328505,78,857
329339,78,834
330226,77,887
331091,76,865
331947,74,856
332777,74,830
333615,73,838
334442,72,827
335268,72,826
336089,71,821
336888,71,799
337666,71,778
338487,71,821
339286,72,799
340110,73,824
340926,73,816
341807,73,881
342671,73,864
343530,74,859
344402,74,872
345272,74,870
346111,74,839
346986,73,875
347831,73,845
348621,73,790
349433,72,812
350226,72,793
351013,72,787
351789,72,776
352569,72,780
353333,73,764
354097,73,764
354892,73,795
355655,74,763
356478,76,823
357330,76,852
358202,76,872
359093,76,891
359945,76,852
360854,76,909
361716,76,862
362627,76,911
363539,74,912
364450,74,911
365295,73,845
366150,72,855
366988,71,838
367808,70,820
368592,70,784
369345,70,753
370071,70,726
370794,71,723
371542,71,748
372279,72,737
373031,73,752
373801,75,770
374596,75,795
375408,76,812
376228,77,820
377055,78,827
377890,79,835
378727,79,837
379583,79,856
380436,79,853
381275,78,839
382124,76,849
382952,76,828
383771,75,819
384584,75,813
385397,74,813
386200,73,803
386991,73,791
387756,73,765
388519,73,763
389302,74,783
390068,74,766
390852,74,784
391641,75,789
392495,75,854
393301,76,806
394141,76,840
394998,76,857
395834,76,836
396672,76,838
397512,76,840
398329,76,817
399185,75,856
400008,75,823
400785,74,777
401570,74,785
402341,74,771
403092,73,751
403821,74,729
404528,74,707
405234,74,706
405928,75,694
406661,77,733
407357,77,696
408100,78,743
408881,79,781
409688,81,807
410495,81,807
411315,82,820
412147,82,832
412988,82,841
413866,81,878
414720,81,854
415595,80,875
416476,79,881
417340,77,864
418215,76,875
419030,74,815
419835,74,805
420626,73,791
421419,72,793
422186,72,767
422924,72,738
423660,72,736
424416,72,756
425148,74,732
425886,74,738
426685,75,799
427485,76,800
428294,77,809
429088,78,794
429904,78,816
430724,79,820
431593,79,869
432428,79,835
433307,78,879
434186,78,879
435085,77,899
435923,76,838
436767,75,844
437604,74,837
438418,73,814
439218,73,800
440012,72,794
440791,72,779
441553,72,762
442311,72,758
443069,72,758
443834,73,765
444615,74,781
445418,74,803
446246,75,828
447107,76,861
447967,76,860
448815,77,848
449707,77,892
450596,76,889
451509,76,913
452400,75,891
453298,75,898
454186,74,888
455069,73,883
455936,72,867
456787,70,851
457622,70,835
458453,70,831
459200,69,747
459934,70,734
460661,70,727
461388,70,727
462138,70,750
462864,70,726
463637,72,773
464424,73,787
465268,74,844
466098,76,830
466944,76,846
467782,77,838
468664,78,882
469510,78,846
470399,78,889
471237,77,838
472074,77,837
472915,76,841
473737,75,822
474558,74,821
475370,73,812
476167,73,797
476964,72,797
477744,72,780
478519,72,775
479306,73,787
480103,73,797
480906,74,803
481751,74,845
482603,75,852
483482,75,879
484351,75,869
485242,75,891
486136,75,894
487040,75,904
487946,74,906
488846,74,900
489736,73,890
490647,71,911
491489,71,842
492349,70,860
493191,70,842
494006,69,815
494782,69,776
495529,69,747
496274,69,745
497034,70,760
497745,71,711
498506,71,761
499312,72,806
500086,74,774
500926,76,840
501735,76,809
502579,77,844
503435,77,856
504306,78,871
505180,77,874
506055,77,875
506944,76,889
507771,76,827
508608,75,837
509443,74,835
510242,73,799
511036,72,794
511817,72,781
512568,72,751
513319,72,751
514067,73,748
514824,73,757
515599,74,775
516403,74,804
517224,76,821
518074,76,850
518884,77,810
519732,77,848
520598,77,866
521457,77,859
522283,76,826
523134,76,851
523972,76,838
524800,75,828
525622,75,822
526434,73,812
527230,73,796
528022,73,792
528808,73,786
529568,73,760
530320,73,752
531085,73,765
531856,74,771
532686,75,830
533493,75,807
534354,76,861
535234,76,880
536112,76,878
536999,76,887
537892,76,893
538792,76,900
539722,74,930
540671,74,949
541559,73,888
542490,72,931
543348,71,858
544216,70,868
545061,69,845
545889,68,828
546704,68,815
547483,68,779
548236,68,753
548967,69,731
549688,69,721
550431,70,743
551136,73,705
551906,73,770
552670,74,764
553477,75,807
554292,77,815
555144,78,852
555959,78,815
556809,79,850
557709,79,900
558571,79,862
559468,78,897
560352,77,884
561259,75,907
562104,75,845
562963,74,859
563808,73,845
564641,72,833
565463,71,822
566276,71,813
567059,70,783
567833,70,774
568634,71,801
569411,72,777
570174,72,763
571028,72,854
571853,73,825
572699,74,846
573584,75,885
574452,75,868
575314,75,862
576190,75,876
577077,75,887
577930,74,853
578802,74,872
579651,72,849
580474,72,823
581308,72,834
582127,71,819
582947,71,820
583750,71,803
584550,71,800
585348,71,798
586108,71,760
586860,73,752
587619,73,759
588381,73,762
589170,74,789
589986,75,816
590721,75,735
591504,76,783
592324,77,820
593132,77,808
593948,78,816
594754,78,806
595594,78,840
596451,78,857
597296,77,845
598163,76,867
598971,76,808
599794,76,823
600612,75,818
601423,75,811
602198,74,775
602953,74,755
603718,74,765
604492,74,774
605302,74,810
606085,74,783
606920,75,835
607793,75,873
608655,75,862
609544,76,889
610437,76,893
611333,76,896
612238,75,905
613148,75,910
614043,74,895
614931,73,888
615816,72,885
616637,70,821
617472,70,835
618278,70,806
619081,69,803
619866,69,785
620622,70,756
621373,70,751
622130,70,757
622887,71,757
623665,73,778
624473,73,808
625320,74,847
626174,75,854
627045,76,871
627921,76,876
628818,76,897
629724,76,906
630637,76,913
631553,75,916
632466,74,913
633389,73,923
634304,72,915
635204,71,900
636084,69,880
636942,69,858
637774,68,832
638601,68,827
639408,68,807
640179,68,771
640930,68,751
641682,69,752
642420,69,738
643171,71,751
643952,71,781
644751,73,799
645574,74,823
646430,75,856
647293,76,863
648172,76,879
649047,77,875
649934,77,887
650824,76,890
651704,76,880
652574,75,870
653424,73,850
654233,73,809
655007,72,774
655761,72,754
656506,71,745
657248,71,742
658028,71,780
658789,72,761
659592,73,803
660423,73,831
661293,74,870
662161,75,868
663053,76,892
663986,76,933
664869,76,883
665767,76,898
666661,74,894
667542,74,881
668402,73,860
669236,72,834
670067,71,831
670889,70,822
671701,70,812
672499,70,798
673274,70,775
674050,71,776
674823,71,773
675605,71,782
676416,72,811
677240,73,824
678073,74,833
678923,74,850
679771,75,848
680638,75,867
681513,75,875
682395,75,882
683288,75,893
684211,74,923
685075,73,864
685965,73,890
686840,72,875
687698,71,858
688540,71,842
689362,70,822
690170,70,808
690970,70,800
691771,70,801
692553,70,782
693334,71,781
694106,71,772
694869,71,763
695638,72,769
696412,74,774
697189,74,777
697998,75,809
698816,76,818
699650,76,834
700505,77,855
701363,77,858
702227,77,864
703112,77,885
704001,76,889
704896,76,895
705786,75,890
706680,73,894
707568,73,888
708445,72,877
709311,71,866
710155,71,844
710983,70,828
711802,69,819
712603,69,801
713397,69,794
714151,70,754
714930,71,779
715651,71,721
716400,71,749
717160,72,760
717944,74,784
718745,74,801
719554,75,809
720401,76,847
721230,77,829
722074,78,844
722931,78,857
723755,78,824
724632,77,877
