timestamp,duration_min,fm_theta_mean,fm_theta_best,iaf_mean,iaf_best,alpha_mean,alpha_best,beta_mean,beta_best,theta_alpha_mean,theta_alpha_best,hrv_mean,hrv_best,mw_count,mw_rate_per_min,mw_time_to_first_tap_s,mw_median_iti_s,mw_iti_cv,aperiodic_exponent,aperiodic_offset,alpha_osc_db,theta_osc_db,alpha_cf_hz,theta_peak_detected,delta_rel_pct,theta_rel_pct,alpha_rel_pct,artifact_reject_pct,breathing_rate_bpm,breathing_rate_std,respiratory_period_s,rsa_amplitude_ms,rsa_band_power_ms2,sd1
2025-11-20 16:30:01,19.320,0.140,0.490,8.600,8.750,4.810,4.980,-4.380,-4.680,0.240,0.290,,,,,,,,,,,,,,,,,,,,,,,
2025-11-21 06:33:47,29.139,0.590,1.940,8.750,8.880,2.440,4.850,-3.560,-5.060,0.820,2.870,,,,,,,,,,,,,,,,,,,,,,,
2025-11-24 09:52:13,14.130,0.270,0.370,8.720,8.880,3.950,4.400,-5.020,-5.470,0.790,1.090,,,,,,,,,,,,,,,,,,,,,,,
2025-11-25 07:34:58,14.064,0.180,0.680,8.940,9.130,3.290,3.590,-6.320,-6.710,0.390,0.480,,,,,,,,,,,,,,,,,,,,,,,
2025-11-25 15:59:08,10.633,1.040,1.520,9.960,12.380,5.510,5.830,-1.040,-1.970,0.230,0.250,,,,,,,,,,,,,,,,,,,,,,,
2025-11-26 07:54:52,14.159,0.440,0.700,8.750,8.880,3.440,3.750,-5.750,-6.440,0.870,1.210,,,,,,,,,,,,,,,,,,,,,,,
2025-11-27 08:10:54,19.206,0.450,0.900,8.690,8.880,3.060,3.590,-6.270,-6.640,0.740,1.280,,,,,,,,,,,,,,,,,,,,,,,
2025-11-28 07:24:07,26.357,0.210,0.310,8.690,8.880,1.610,2.330,-6.790,-7.800,0.550,0.730,,,,,,,,,,,,,,,,,,,,,,,
2025-11-29 07:28:17,39.066,0.650,1.000,8.690,8.880,3.480,3.650,-5.440,-6.930,0.690,0.950,,,,,,,,,,,,,,,,,,,,,,,
2025-11-30 06:15:09,17.902,2.210,4.380,8.600,8.630,3.270,4.770,-6.440,-8.190,0.870,1.190,,,,,,,,,,,,,,,,,,,,,,,
2025-12-01 07:49:40,23.911,0.010,0.020,8.660,8.750,4.530,5.180,-0.930,-1.270,0.360,0.450,,,,,,,,,,,,,,,,,,,,,,,
2025-12-01 22:48:14,13.603,0.140,0.180,8.750,8.880,2.250,2.620,-4.200,-4.620,0.370,0.340,,,,,,,,,,,,,,,,,,,,,,,
2025-12-02 07:30:34,29.551,0.220,0.270,8.650,8.880,3.700,4.500,-3.950,-4.340,0.450,0.550,,,,,,,,,,,,,,,,,,,,,,,
2025-12-03 07:44:25,33.381,1.830,3.330,8.640,8.880,3.380,3.740,-4.080,-4.970,1.060,1.550,,,,,,,,,,,,,,,,,,,,,,,
2025-12-04 07:40:03,29.894,0.600,0.880,10.080,12.500,4.450,5.410,-4.640,-6.580,0.230,0.360,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 07:35:28,30.557,1.750,2.210,8.640,8.750,3.570,4.090,-4.590,-6.560,0.810,1.220,,,,,,,,,,,,,,,,,,,,,,,
2025-12-06 06:24:12,36.760,0.130,0.770,8.670,8.750,3.190,4.510,-7.420,-8.510,0.500,1.570,,,,,,,,,,,,,,,,,,,,,,,
2025-12-08 07:39:33,30.131,2.420,6.030,8.710,8.880,5.740,8.500,-3.700,-6.510,1.280,2.910,,,,,,,,,,,,,,,,,,,,,,,
2025-12-09 07:26:30,34.907,-1.270,-1.250,8.710,8.750,3.140,3.630,-7.710,-9.150,0.490,0.630,,,,,,,,,,,,,,,,,,,,,,,
2025-12-10 07:48:20,33.553,-1.600,-1.220,8.690,8.880,2.810,3.560,-6.050,-6.670,0.300,0.350,,,,,,,,,,,,,,,,,,,,,,,
2025-12-11 07:37:21,35.177,4.070,4.500,10.410,11.500,6.600,8.210,-4.170,-5.300,0.470,1.010,,,,,,,,,,,,,,,,,,,,,,,
2025-12-12 07:48:35,30.345,0.540,6.050,8.670,8.880,3.900,9.500,-6.030,-7.450,0.840,3.170,,,,,,,,,,,,,,,,,,,,,,,
2025-12-15 08:33:40,22.181,1.110,1.230,8.710,8.880,6.000,6.260,-3.670,-4.310,0.290,0.300,,,,,,,,,,,,,,,,,,,,,,,
2025-12-16 07:36:15,33.758,3.410,6.370,8.710,8.880,4.800,7.360,-4.270,-6.650,0.960,2.210,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 07:43:23,40.252,0.480,2.020,8.660,8.880,4.500,5.300,-6.100,-6.760,0.260,0.420,,,,,,,,,,,,,,,,,,,,,,,
2025-12-18 07:45:18,33.773,-2.460,-2.140,8.810,9.000,2.630,3.510,-8.650,-9.300,0.330,0.440,,,,,,,,,,,,,,,,,,,,,,,
2025-12-19 07:39:20,34.080,-1.790,-1.060,8.670,8.880,3.270,3.360,-7.030,-7.790,1.110,2.000,,,,,,,,,,,,,,,,,,,,,,,
2025-12-20 06:53:53,31.400,4.080,4.970,8.790,8.880,3.770,4.570,-5.580,-5.940,0.620,0.970,,,,,,,,,,,,,,,,,,,,,,,
2025-12-22 07:35:33,33.911,8.740,10.460,8.830,9.000,5.580,6.320,-2.390,-4.880,1.430,1.720,,,,,,,,,,,,,,,,,,,,,,,
2025-12-23 07:35:21,30.623,-1.500,0.050,8.820,9.000,2.820,3.260,-7.150,-7.760,1.180,3.650,,,,,,,,,,,,,,,,,,,,,,,
2025-12-24 07:45:35,32.061,1.400,2.430,8.740,8.880,3.190,3.690,-6.860,-7.280,0.380,0.590,,,,,,,,,,,,,,,,,,,,,,,
2025-12-25 07:45:46,38.587,-2.760,-2.380,8.830,9.000,2.550,3.270,-8.370,-9.100,0.380,0.670,,,,,,,,,,,,,,,,,,,,,,,
2025-12-28 19:55:40,26.401,2.720,3.380,8.730,8.750,6.110,6.450,-3.260,-3.970,0.240,0.260,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 21:12:19,4.944,-0.530,,8.380,,2.520,,-6.800,,0.420,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-03 07:46:08,29.231,-2.880,-2.320,8.540,8.750,3.560,4.230,-7.700,-8.430,0.470,0.660,,,,,,,,,,,,,,,,,,,,,,,
2026-01-05 07:36:57,28.583,10.220,12.750,8.680,8.750,4.140,4.610,-3.240,-3.710,1.060,1.610,,,,,,,,,,,,,,,,,,,,,,,
2026-01-06 07:32:01,29.480,5.510,6.870,8.600,8.750,5.840,9.130,-2.750,-4.300,1.290,2.180,,,,,,,,,,,,,,,,,,,,,,,
2026-01-07 07:58:06,29.179,0.260,2.600,8.560,8.750,4.570,4.830,-4.010,-4.500,0.510,0.660,,,,,,,,,,,,,,,,,,,,,,,
2026-01-08 08:10:40,24.788,2.030,3.030,8.570,8.750,3.710,4.630,-5.450,-6.260,0.850,1.320,,,,,,,,,,,,,,,,,,,,,,,
2026-01-09 07:47:45,31.418,2.890,3.540,8.740,8.880,4.390,7.620,-3.940,-6.170,1.270,1.920,,,,,,,,,,,,,,,,,,,,,,,
2026-01-11 07:17:50,30.367,3.140,7.320,8.670,8.750,4.680,8.580,-3.960,-7.390,1.400,3.290,,,,,,,,,,,,,,,,,,,,,,,
2026-01-12 06:22:12,30.915,-0.510,0.650,8.610,8.750,3.740,5.460,-4.160,-5.330,0.880,2.160,,,,,,,,,,,,,,,,,,,,,,,
2026-01-14 07:30:14,29.568,-2.610,-2.150,8.670,8.880,3.130,3.900,-5.740,-6.770,1.040,1.790,34.698,40.537,,,,,,,,,,,,,,,,,,,,,
2026-01-15 07:29:00,29.095,1.170,2.260,8.640,8.750,2.970,4.420,-3.880,-5.270,1.650,2.080,58.019,75.307,,,,,,,,,,,,,,,,,,,,,
2026-01-16 07:19:47,29.976,3.810,4.360,8.630,8.880,4.070,6.250,-2.160,-3.360,1.400,3.200,90.375,124.197,,,,,,,,,,,,,,,,,,,,,
2026-01-17 07:05:55,29.400,4.520,6.380,8.590,9.000,5.510,7.150,2.530,0.040,1.540,2.210,33.724,39.765,,,,,,,,,,,,,,,,,,,,,
2026-01-18 07:28:16,19.723,0.130,0.430,8.630,8.750,3.050,3.140,-4.650,-5.160,0.500,0.460,32.295,37.776,,,,,,,,,,,,,,,,,,,,,
2026-01-19 08:40:35,29.565,-0.810,0.900,8.890,9.000,4.830,5.410,-5.210,-6.550,0.590,1.230,30.309,34.942,,,,,,,,,,,,,,,,,,,,,
2026-01-20 07:58:40,16.527,0.270,0.420,8.780,8.880,3.100,3.240,-5.550,-6.250,0.450,0.470,30.963,35.853,,,,,,,,,,,,,,,,,,,,,
2026-01-21 08:15:40,21.253,1.180,3.340,8.810,8.880,4.220,5.620,-4.050,-4.710,1.110,3.130,31.001,35.103,,,,,,,,,,,,,,,,,,,,,
2026-01-22 07:43:10,26.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-23 07:41:56,28.694,3.540,6.560,8.890,9.250,4.220,5.120,-2.630,-3.790,1.900,3.150,40.742,46.869,,,,,,,,,,,,,,,,,,,,,
2026-01-24 07:42:35,30.753,11.140,12.380,8.500,8.880,6.380,8.610,8.600,4.460,3.360,6.340,34.160,43.394,,,,,,,,,,,,,,,,,,,,,
2026-01-26 08:30:00,23.560,0.490,1.940,8.710,8.750,5.110,5.530,-4.510,-5.530,0.260,0.390,41.584,47.056,,,,,,,,,,,,,,,,,,,,,
2026-01-27 07:37:41,24.328,2.350,3.240,8.550,8.630,3.800,3.960,-5.530,-6.610,1.680,2.870,46.468,51.688,,,,,,,,,,,,,,,,,,,,,
2026-01-28 06:14:59,26.697,-0.830,0.250,8.560,8.750,3.820,4.350,-2.410,-3.810,0.370,0.340,20.252,24.985,,,,,,,,,,,,,,,,,,,,,
2026-01-29 06:22:10,30.451,0.990,1.870,8.640,8.750,3.900,4.470,-1.790,-2.710,0.770,1.310,38.419,70.756,,,,,,,,,,,,,,,,,,,,,
2026-01-31 06:46:11,28.666,3.630,4.330,8.690,8.750,4.510,5.190,-2.920,-4.160,0.470,1.110,25.783,32.901,,,,,,,,,,,,,,,,,,,,,
2026-02-02 07:38:33,29.100,4.310,6.530,8.560,8.750,6.420,8.880,-0.710,-3.170,4.390,9.660,46.487,62.973,,,,,,,,,,,,,,,,,,,,,
2026-02-04 06:27:45,24.029,1.820,2.300,8.640,8.750,3.230,3.590,-4.510,-5.950,0.570,0.850,145.451,221.943,,,,,,,,,,,,,,,,,,,,,
2026-02-05 07:56:53,32.840,1.190,2.050,8.750,8.880,5.600,8.500,-4.330,-6.990,1.830,4.170,,,,,,,,,,,,,,,,,,,,,,,
2026-02-06 07:43:47,31.892,1.010,5.250,8.780,8.880,4.700,7.000,-4.560,-6.050,1.110,2.160,33.013,38.701,,,,,,,,,,,,,,,,,,,,,
2026-02-07 06:52:19,31.005,2.760,5.160,8.760,8.880,4.940,8.680,-1.610,-4.300,1.100,2.800,23.691,33.020,,,,,,,,,,,,,,,,,,,,,
2026-02-09 07:54:48,20.401,1.760,3.010,8.630,8.630,4.840,5.210,-0.780,-1.500,0.790,0.910,21.567,30.257,,,,,,,,,,,,,,,,,,,,,
2026-02-11 07:44:50,26.155,1.360,6.760,8.720,8.880,5.130,6.270,-3.940,-5.840,1.180,2.320,64.224,129.335,,,,,,,,,,,,,,,,,,,,,
2026-02-12 07:53:15,25.371,2.400,3.470,8.700,8.750,4.360,6.210,-3.820,-5.060,1.110,1.770,45.067,53.673,,,,,,,,,,,,,,,,,,,,,
2026-02-13 07:32:59,33.347,1.790,2.690,8.640,8.750,4.290,4.510,-6.200,-6.660,0.560,0.780,41.484,53.085,,,,,,,,,,,,,,,,,,,,,
2026-02-14 07:18:39,28.027,0.170,0.600,8.630,8.880,4.110,4.520,-6.670,-7.060,0.430,0.600,56.346,81.752,,,,,,,,,,,,,,,,,,,,,
2026-02-17 07:47:56,25.125,-0.180,0.520,8.640,8.750,4.160,4.690,-5.940,-6.600,0.320,0.330,49.192,82.006,,,,,,,,,,,,,,,,,,,,,
2026-02-18 07:45:42,19.620,6.130,6.530,8.560,8.630,5.500,5.490,-3.140,-3.820,0.830,0.570,32.905,38.604,,,,,,,,,,,,,,,,,,,,,
2026-02-19 07:34:16,24.778,2.150,2.770,8.590,8.750,6.170,6.450,-3.300,-3.560,0.750,1.210,56.652,70.059,,,,,,,,,,,,,,,,,,,,,
2026-02-21 07:54:59,25.302,1.260,2.010,8.940,9.130,4.120,4.470,-2.890,-3.610,0.540,1.290,65.584,113.072,,,,,,,,,,,,,,,,,,,,,
2026-02-24 07:33:09,32.275,0.140,0.760,8.760,8.880,3.700,5.030,-6.340,-8.490,0.930,1.320,37.522,78.544,,,,,,,,,,,,,,,,,,,,,
2026-03-17 07:51:15,19.369,-1.300,-2.080,9.100,10.000,4.850,4.700,-5.100,-7.660,0.610,0.690,,,,,,,,,,,,,,,,,,,,,,,
2026-03-23 07:55:26,26.397,-1.000,-0.010,8.730,8.880,4.560,4.910,-5.550,-5.940,0.330,0.330,61.721,97.474,,,,,,,,,,,,,,,,,,,,,
2026-03-24 07:42:22,20.530,0.000,0.180,8.730,8.880,4.640,5.470,-4.710,-5.160,0.390,0.560,30.889,39.978,,,,,,,,,,,,,,,,,,,,,
2026-04-03 08:02:17,23.576,0.850,1.570,11.950,12.750,7.520,8.200,-1.450,-2.460,0.680,0.400,,,,,,,,,,,,,,,,,,,,,,,
2026-05-01 07:44:42,19.758,1.540,2.110,8.670,8.750,4.270,4.440,-5.200,-5.730,0.290,0.320,,,,,,,,,,,,,,,,,,,,,,,
